ucsc.5utr	ucsc.5utr.chr	ucsc.5utr.start	ucsc.5utr.end	ucsc.3utr	ucsc.3utr.chr	ucsc.3utr.start	ucsc.3utr.end
GPRIN1	uc003meo.1	chr5	176026836	176037131	uc003meo.1	chr5	176022803	176023808
SNCB	uc003mep.3	chr5	176056656	176057557	uc010jke.1	chr5	176048215	176053427
MIR4281	uc021yik.1	chr5	176056440	176056501	NA	NA	NA	NA
HK3	uc003mfa.3	chr5	176323161	176326333	uc003mez.3	chr5	176307870	176308073
UIMC1	uc003mfd.2	chr5	176396692	176433795	uc011dfq.2	chr5	176396942	176397640
RAB24	uc003mfv.3	chr5	176730290	176730744	uc003mfv.3	chr5	176728199	176728743
MXD3	uc010jkk.2	chr5	176738832	176739292	uc010jkk.2	chr5	176732501	176734119
LMAN2	uc003mge.3	chr5	176778649	176778885	uc003mge.3	chr5	176758563	176759086
PFN3	uc003mgl.2	chr5	176827578	176827637	uc003mgl.2	chr5	176827108	176827163
F12	uc003mgo.4	chr5	176836529	176836577	uc003mgo.4	chr5	176829139	176829292
PRR7-AS1	uc021yiv.1	chr5	176864890	176874945	NA	NA	NA	NA
DBN1	uc010jkn.1	chr5	176894809	176900694	uc011dga.1	chr5	176883614	176884433
PDLIM7	uc003mhe.1	chr5	176910395	176924602	uc003mhg.1	chr5	176916772	176917497
DOK3	uc003mhi.4	chr5	176936542	176937427	uc003mhh.4	chr5	176928906	176930045
DDX41	uc003mhq.1	chr5	176942055	176943967	uc003mhn.3	chr5	176938578	176938791
FAM193B	uc003mhw.3	chr5	176946790	176981548	uc003mhr.3	chr5	176946790	176948975
LOC202181	uc011dgb.1	chr5	177045501	177099278	uc011dgc.2	chr5	177053083	177053403
FAM153A	uc003mib.1	chr5	177138237	177207505	uc021yix.1	chr5	177148908	177151113
PROP1	uc003mif.1	chr5	177422935	177423243	uc003mif.1	chr5	177419236	177419709
NHP2	uc003mir.2	chr5	177580819	177580961	uc003mis.2	chr5	177576465	177576796
GMCL1P1	uc003mit.1	chr5	177614301	177614433	uc003mit.1	chr5	177611511	177612719
AGXT2L2	uc003mja.3	chr5	177635540	177659803	uc003miy.3	chr5	177635540	177638921
COL23A1	uc021yiy.1	chr5	177689221	178017556	uc010jkt.2	chr5	177664617	177665698
CLK4	uc010jkv.1	chr5	178029665	178054054	uc011dgj.1	chr5	178044345	178045550
AK309215	uc021yja.1	chr5	178046292	178047541	NA	NA	NA	NA
ZNF354A	uc003mjj.3	chr5	178156024	178157703	uc003mjj.3	chr5	178138522	178139060
AACSP1	uc011dgl.2	chr5	178191864	178245436	NA	NA	NA	NA
GRM6	uc003mjq.3	chr5	178410556	178411069	uc003mjq.3	chr5	178405330	178408657
ADAMTS2	uc003mjw.3	chr5	178772330	178772431	uc003mjw.3	chr5	178537852	178540867
HNRNPH1	uc003mkg.5	chr5	179048014	179050711	uc011dgn.2	chr5	179041179	179041960
C5orf60	uc003mki.3	chr5	179072022	179072047	uc003mki.3	chr5	179068558	179069339
CBY3	uc021yjf.1	chr5	179107920	179107975	uc021yjf.1	chr5	179105559	179105583
MGAT4B	uc003mkr.3	chr5	179229112	179229875	uc003mkp.3	chr5	179224598	179225044
MIR1229	uc021yjg.1	chr5	179225278	179225346	NA	NA	NA	NA
C5orf45	uc003mlb.3	chr5	179268954	179285840	uc003mky.2	chr5	179263634	179264177
TBC1D9B	uc003mlf.3	chr5	179293025	179293872	uc003mlk.1	chr5	179295058	179296472
RNF130	uc003mll.1	chr5	179498703	179499109	uc003mlm.1	chr5	179382474	179382664
MIR340	uc003mln.3	chr5	179442303	179442397	NA	NA	NA	NA
RASGEF1C	uc003mlr.3	chr5	179565053	179636130	uc003mlp.4	chr5	179527795	179528500
MAPK9	uc010jlc.3	chr5	179707562	179719071	uc003mlv.4	chr5	179660595	179663514
GFPT2	uc003mlw.1	chr5	179780218	179780315	uc003mlw.1	chr5	179727700	179728563
SCGB3A1	uc003mly.3	chr5	180018463	180018487	uc003mly.3	chr5	180017105	180017230
FLT4	uc003mmb.1	chr5	180052889	180056427	uc003mlz.4	chr5	180028506	180030191
OR2Y1	NA	NA	NA	NA	NA	NA	NA	NA
MGAT1	uc003mmi.4	chr5	180219972	180242541	uc003mmg.4	chr5	180217541	180218633
ZFP62	uc003mmm.4	chr5	180274611	180288286	uc011dhe.2	chr5	180274611	180275791
OR2V1	NA	NA	NA	NA	NA	NA	NA	NA
TRIM7	uc003mmw.1	chr5	180627076	180631340	uc003mmv.1	chr5	180620924	180622165
MIR4638	uc021ykh.1	chr5	180649566	180649633	NA	NA	NA	NA
AX748230	uc003mnb.1	chr5	180651892	180657685	uc003mnb.1	chr5	180649869	180651540
GNB2L1	uc003mnj.1	chr5	180669313	180670906	uc011dhk.1	chr5	180665206	180665949
SNORD96A	uc010jlt.1	chr5	180668818	180668889	NA	NA	NA	NA
SNORD95	uc003mnn.1	chr5	180670314	180670376	NA	NA	NA	NA
TRIM52	uc003mnp.3	chr5	180687815	180688119	uc003mnp.3	chr5	180683386	180684414
ZNF595	uc011bus.1	chr4	53227	86090	uc003fzu.1	chr4	53227	196092
ZNF718	uc003fzw.4	chr4	124402	155136	uc010iaz.3	chr4	124386	156490
ZNF876P	uc010iba.4	chr4	206389	248031	uc010iba.4	chr4	248644	249773
ZNF141	uc003fzz.2	chr4	331596	331772	uc003gab.3	chr4	376920	377760
PIGG	uc011buw.2	chr4	492989	499512	uc011bux.2	chr4	492989	533320
PDE6B	uc010ibg.2	chr4	646966	647766	uc003gao.4	chr4	663897	664681
MYL5	uc003gav.3	chr4	671711	671815	uc003gat.3	chr4	667369	675817
PCGF3	uc003gbc.2	chr4	699573	727469	uc003gbd.1	chr4	699573	761652
TMEM175	uc003gbs.3	chr4	926262	945478	uc021xkf.1	chr4	942026	942377
IDUA	uc003gby.3	chr4	980785	980872	uc003gbz.3	chr4	980785	998317
FGFRL1	uc003gce.3	chr4	1004940	1006273	uc003gce.3	chr4	1019136	1020686
AX747945	NA	NA	NA	NA	uc003gcl.1	chr4	1145160	1147489
CTBP1-AS1	uc003gcz.3	chr4	1243228	1244361	uc003gcz.3	chr4	1244923	1246795
C4orf42	NA	NA	NA	NA	uc003gcy.1	chr4	1243280	1282079
MAEA	uc011bvd.2	chr4	1303599	1305841	uc003gdd.3	chr4	1283672	1333925
UVSSA	uc010ibv.3	chr4	1359865	1369210	uc003gde.4	chr4	1379750	1381837
CRIPAK	uc003gdf.2	chr4	1385340	1388299	uc003gdf.2	chr4	1389641	1389782
TACC3	uc010ibz.3	chr4	1723217	1725148	uc010ibz.3	chr4	1739718	1740077
FGFR3	uc003gdr.3	chr4	1795039	1795661	uc031sdd.1	chr4	1795560	1810599
WHSC1	uc003gdx.3	chr4	1873123	1902381	uc003gee.4	chr4	1894509	1983934
SCARNA22	NA	NA	NA	NA	uc003gej.3	chr4	1976363	1976487
C4orf48	uc003gep.3	chr4	2043777	2044078	uc021xkn.1	chr4	2045654	2045697
NAT8L	NA	NA	NA	NA	uc003geq.2	chr4	2065855	2070816
LOC402160	uc021xkr.1	chr4	2420701	2428202	uc003gfa.1	chr4	2451674	2452087
RNF4	uc003gfb.3	chr4	2470795	2492220	uc010icj.3	chr4	2515476	2517586
FAM193A	uc011bvm.2	chr4	2627159	2632731	uc011bvo.2	chr4	2627159	2734302
SH3BP2	uc010icn.2	chr4	2794750	2822344	uc003gfi.4	chr4	2835562	2842823
ADD1	uc010ico.1	chr4	2845584	2877642	uc003gfu.3	chr4	2900346	2904727
NOP14-AS1	NA	NA	NA	NA	uc003ggi.1	chr4	2938993	2963465
AB000466	NA	NA	NA	NA	uc003ggg.1	chr4	2937278	2943596
GRK4	uc003ggn.1	chr4	2965343	2965797	uc003ggm.3	chr4	2967235	2968577
HTT	uc021xkv.1	chr4	3076408	3076552	uc021xkv.1	chr4	3241787	3245687
MSANTD1	uc003ggs.3	chr4	3250767	3250949	uc003ggs.3	chr4	3257693	3258342
RGS12	uc010ics.1	chr4	3294755	3417824	uc011bvr.1	chr4	3311452	3417848
HGFAC	uc003ghc.3	chr4	3443726	3443728	uc003ghc.3	chr4	3451147	3451213
DOK7	uc003ghf.4	chr4	3486271	3494643	uc003ghe.3	chr4	3494493	3496209
LINC00955	NA	NA	NA	NA	uc003ghj.2	chr4	3578596	3592712
ADRA2C	uc003ghm.3	chr4	3768296	3768333	uc003ghm.3	chr4	3769723	3770253
ZBTB49	uc003ghv.3	chr4	4291924	4317627	uc010icy.3	chr4	4291924	4323513
NSG1	uc031sde.1	chr4	4349869	4389356	uc011bvz.2	chr4	4419163	4420785
LOC100507266	NA	NA	NA	NA	uc003gid.3	chr4	4543858	4712664
MSX1	uc003gif.3	chr4	4861392	4861626	uc003gif.3	chr4	4864871	4865660
STK32B	uc010ida.1	chr4	5053527	5170058	uc003gih.1	chr4	5500811	5502725
C4orf6	uc003gii.3	chr4	5526883	5527057	uc003gii.3	chr4	5528059	5529527
EVC	uc003gil.1	chr4	5712924	5713107	uc003gim.1	chr4	5712924	5830772
LOC285484	uc021xkz.2	chr4	6202460	6229747	uc003giw.1	chr4	6202460	6240044
WFS1	uc003giy.3	chr4	6271577	6279182	uc003giy.3	chr4	6304196	6304992
MAN2B2	uc003gje.1	chr4	6576902	6576937	uc003gje.1	chr4	6619271	6624128
MRFAP1	uc003gjg.2	chr4	6641818	6642589	uc003gjg.2	chr4	6642974	6644470
LOC93622	NA	NA	NA	NA	uc003gji.2	chr4	6675821	6677774
S100P	uc003gjl.3	chr4	6695566	6695659	uc003gjl.3	chr4	6698770	6698897
BLOC1S4	uc003gjp.1	chr4	6717842	6717936	uc003gjp.1	chr4	6718591	6719387
KIAA0232	uc003gjr.4	chr4	6784459	6826180	uc003gjr.4	chr4	6882694	6885899
TBC1D14	uc011bwg.2	chr4	6911171	6925116	uc011bwg.2	chr4	7032120	7034845
TADA2B	uc021xle.1	chr4	7054551	7055794	uc003gjw.4	chr4	7056782	7059677
MIR4798	NA	NA	NA	NA	uc021xlf.1	chr4	7312177	7312251
MIR4274	NA	NA	NA	NA	uc021xlh.1	chr4	7461755	7461845
SORCS2	uc011bwi.2	chr4	7383625	7398050	uc003gkb.4	chr4	7741992	7744564
AFAP1-AS1	NA	NA	NA	NA	uc003gkd.4	chr4	7755817	7780654
SH3TC1	uc003gkw.4	chr4	8201060	8211530	uc003gkx.4	chr4	8201060	8242830
HTRA3	uc003gkz.3	chr4	8271489	8271695	uc003gla.3	chr4	8307864	8308838
TRMT44	uc003glf.1	chr4	8440604	8448277	uc003gli.1	chr4	8475243	8495258
GPR78	uc003glk.4	chr4	8582217	8582709	uc021xlj.2	chr4	8581964	8591750
CPZ	uc003gln.3	chr4	8594387	8603139	uc003gll.3	chr4	8582217	8621488
LOC650293	NA	NA	NA	NA	NA	NA	NA	NA
USP17L10	NA	NA	NA	NA	NA	NA	NA	NA
USP17L11	NA	NA	NA	NA	NA	NA	NA	NA
USP17L12	NA	NA	NA	NA	NA	NA	NA	NA
USP17L13	NA	NA	NA	NA	NA	NA	NA	NA
USP17L17	NA	NA	NA	NA	NA	NA	NA	NA
USP17L19	NA	NA	NA	NA	NA	NA	NA	NA
USP17L20	NA	NA	NA	NA	NA	NA	NA	NA
USP17L27	NA	NA	NA	NA	NA	NA	NA	NA
USP17L24	NA	NA	NA	NA	NA	NA	NA	NA
USP17L28	NA	NA	NA	NA	NA	NA	NA	NA
USP17L30	NA	NA	NA	NA	NA	NA	NA	NA
USP17L5	NA	NA	NA	NA	NA	NA	NA	NA
USP17L9P	uc031sdq.1	chr4	9360108	9360108	uc031sdq.1	chr4	9361048	9361700
USP17L6P	NA	NA	NA	NA	NA	NA	NA	NA
DEFB131	NA	NA	NA	NA	NA	NA	NA	NA
DRD5	uc003gmb.4	chr4	9783258	9783653	uc003gmb.4	chr4	9785088	9785633
MIR572	NA	NA	NA	NA	uc021xmf.1	chr4	11370451	11370545
BC042433	NA	NA	NA	NA	uc003gmr.3	chr4	12225106	12252909
MIR5091	NA	NA	NA	NA	uc031sdt.1	chr4	13629489	13629581
AK091889	NA	NA	NA	NA	uc003gna.1	chr4	13656803	13932852
LOC152742	NA	NA	NA	NA	uc003gnb.3	chr4	14113592	14141676
CPEB2	NA	NA	NA	NA	uc003gnk.2	chr4	15068005	15071777
C1QTNF7	uc011bxb.2	chr4	15376175	15437367	uc003gno.3	chr4	15444424	15447791
CC2D2A	uc003gns.4	chr4	15471489	15480359	uc003gnz.1	chr4	15538543	15603180
FAM200B	uc003gof.4	chr4	15683352	15688600	uc003gof.4	chr4	15690575	15692070
BC017971	NA	NA	NA	NA	uc003gog.3	chr4	15687859	15692071
BST1	uc003goh.4	chr4	15704573	15704767	uc003goh.4	chr4	15733469	15733796
CD38	uc003gol.1	chr4	15779931	15780037	uc021xmk.1	chr4	15779931	15850706
BC010030	uc003gox.1	chr4	16228286	16228369	uc003gox.1	chr4	16229180	16230285
TAPT1-AS1	uc011bxf.1	chr4	16228286	16228369	uc011bxf.1	chr4	16240446	16259810
CLRN2	uc003gpg.1	chr4	17516788	17516889	uc003gpg.1	chr4	17528706	17528727
LAP3	uc010ieg.3	chr4	17578927	17579088	uc010ieg.3	chr4	17585223	17587079
MED28	uc003gpi.1	chr4	17616273	17616277	uc003gpj.3	chr4	17616273	17629793
NCAPG	uc011bxj.3	chr4	17812436	17826680	uc003gpp.4	chr4	17845049	17846487
SLIT2-IT1	NA	NA	NA	NA	uc003gpt.3	chr4	20393812	20396479
MIR218-1	NA	NA	NA	NA	uc011bxl.2	chr4	20529898	20530007
SLIT2	uc003gpr.1	chr4	20255235	20255438	uc003gpr.1	chr4	20620633	20620788
PACRGL	uc010iek.3	chr4	20702036	20706104	uc003gpu.3	chr4	20697905	20754530
GBA3	uc031sdv.1	chr4	22694537	22694638	uc031sdv.1	chr4	22820505	22821195
SOD3	uc003gqz.3	chr4	24797085	24801143	uc003gqz.3	chr4	24801867	24802467
LOC285540	NA	NA	NA	NA	uc003grj.3	chr4	25162294	25200127
PI4K2B	uc011bxs.2	chr4	25162294	25253962	uc011bxs.2	chr4	25278810	25280831
ZCCHC4	uc003grl.4	chr4	25314396	25314431	uc003grm.1	chr4	25334805	25351307
ANAPC4	uc003grq.3	chr4	25414540	25415963	uc003gro.3	chr4	25420005	25420120
SLC34A2	uc003grr.3	chr4	25657435	25664122	uc003grr.3	chr4	25678372	25680368
SMIM20	uc003grw.4	chr4	25915814	25915935	uc003grw.4	chr4	25930814	25931501
RBPJ	uc003gsa.2	chr4	26322429	26364233	uc003grx.2	chr4	26432630	26436752
TBC1D19	uc010iew.3	chr4	26585546	26585815	uc003gsf.4	chr4	26756570	26756918
STIM2	uc003gsh.4	chr4	26862313	26862840	uc010iex.3	chr4	27022660	27027003
PCDH7	uc003gsk.1	chr4	30722037	30723044	uc011bxx.2	chr4	31144472	31148423
BC037904	NA	NA	NA	NA	uc003gss.3	chr4	36245738	36275841
BC030111	NA	NA	NA	NA	uc010ifa.3	chr4	36258140	36275841
DTHD1	uc011bxy.3	chr4	36283237	36283634	uc003gsv.4	chr4	36335118	36346407
KIAA1239	NA	NA	NA	NA	uc011bxz.2	chr4	37448840	37451087
C4orf19	uc003gsw.4	chr4	37455552	37590489	uc003gsw.4	chr4	37592623	37595132
PGM2	uc011byc.1	chr4	37828282	37841508	uc011byb.1	chr4	37863234	37864559
PTTG2	NA	NA	NA	NA	NA	NA	NA	NA
TBC1D1	uc003gtb.3	chr4	37892705	37903716	uc003gtb.3	chr4	38138957	38140796
KLF3	uc003gtg.2	chr4	38665790	38682246	uc003gth.4	chr4	38698885	38703129
MIR574	NA	NA	NA	NA	uc021xno.1	chr4	38869653	38869748
FAM114A1	uc011byh.2	chr4	38869354	38907446	uc003gtn.3	chr4	38945179	38947365
KLHL5	uc003gtq.3	chr4	39046451	39077624	uc003gtp.3	chr4	39122687	39127853
WDR19	uc010ifl.1	chr4	39184024	39205288	uc003gtv.3	chr4	39280271	39287430
KLB	uc003gua.3	chr4	39408473	39408569	uc003gua.3	chr4	39450307	39453153
LIAS	uc003gue.4	chr4	39460665	39460737	uc011bym.2	chr4	39465230	39465858
LOC401127	NA	NA	NA	NA	uc011byn.2	chr4	39481875	39483523
UGDH-AS1	NA	NA	NA	NA	uc003gum.2	chr4	39529459	39596327
BC040333	NA	NA	NA	NA	uc003gup.1	chr4	39640760	39653681
UBE2K	uc003guq.4	chr4	39699759	39776463	uc010ifn.3	chr4	39699664	39784410
N4BP2	uc010ifq.3	chr4	40058524	40103705	uc003guy.4	chr4	40155858	40159872
RHOH	uc003guz.2	chr4	40198527	40245006	uc003guz.2	chr4	40245583	40246281
JN120858	NA	NA	NA	NA	uc021xnq.1	chr4	40309202	40332436
JN120857	NA	NA	NA	NA	uc021xnr.1	chr4	40318753	40332436
CHRNA9	uc003gva.2	chr4	40337346	40337484	uc003gva.2	chr4	40356538	40357234
NSUN7	uc003gvh.2	chr4	40751914	40752710	uc003gvi.4	chr4	40810352	40812002
UCHL1	uc003gvp.3	chr4	41258898	41262732	uc003gvo.3	chr4	41270091	41270446
LIMCH1	uc003gvt.1	chr4	41362804	41608012	uc010ifv.3	chr4	41694972	41702061
TMEM33	uc003gwi.2	chr4	41937137	41937501	uc010ifw.2	chr4	41937137	41962824
DCAF4L1	uc003gwk.2	chr4	41983713	41983809	uc003gwk.2	chr4	41985001	41988484
SLC30A9	uc011byx.2	chr4	41992523	42041053	uc003gwl.3	chr4	42088144	42089551
SHISA3	uc003gwp.3	chr4	42399856	42400073	uc003gwp.3	chr4	42403469	42404504
GRXCR1	uc003gwt.3	chr4	42895283	42895283	uc003gwt.3	chr4	43032558	43032675
GUF1	uc003gww.4	chr4	44680433	44680639	uc010ifz.1	chr4	44680433	44691426
GABRB1	uc011bze.2	chr4	47033295	47033992	uc010igg.2	chr4	47033295	47046387
ATP10D	uc003gxj.3	chr4	47487410	47514557	uc003gxk.1	chr4	47593399	47595503
BC041434	NA	NA	NA	NA	uc003gxr.1	chr4	47916244	47992754
NIPAL1	uc003gxw.3	chr4	48018791	48018856	uc003gxw.3	chr4	48038190	48039080
SLAIN2	uc003gyb.1	chr4	48384528	48384712	uc003gya.4	chr4	48424095	48428215
SLC10A4	uc003gyc.2	chr4	48485360	48485578	uc003gyc.2	chr4	48490957	48491541
ZAR1	NA	NA	NA	NA	uc003gyd.3	chr4	48496262	48496422
OCIAD1	uc003gyo.3	chr4	48833060	48834641	uc011bzk.2	chr4	48833060	48858451
CWH43	uc011bzl.2	chr4	48988659	48990531	uc003gyv.3	chr4	49063908	49064095
DCUN1D4	uc011bzn.2	chr4	52709276	52740480	uc003gzg.3	chr4	52709276	52783003
SPATA18	uc003gzk.1	chr4	52917593	52917870	uc010igl.1	chr4	52917593	52960738
MIR4449	NA	NA	NA	NA	uc021xoi.1	chr4	53578849	53578914
SNORA26	uc021wzl.1	chr3	53421740	53421863	uc003gzq.1	chr4	53579416	53579537
DANCR	NA	NA	NA	NA	uc003gzo.2	chr4	53578621	53580305
LOC152578	NA	NA	NA	NA	uc021xoj.1	chr4	53656161	53681631
RASL11B	uc003gzt.3	chr4	53728495	53728674	uc003gzt.3	chr4	53731973	53733002
BC042091	NA	NA	NA	NA	uc003gzv.3	chr4	53811821	53817189
AK055055	uc003gzw.1	chr4	53811821	53814687	uc003gzw.1	chr4	53822490	53824254
FIP1L1	uc003hae.3	chr4	54294194	54310231	uc010ign.3	chr4	54265897	54326103
LNX1-AS1	NA	NA	NA	NA	uc031sef.1	chr4	54366244	54389443
LNX1-AS2	NA	NA	NA	NA	uc031seg.1	chr4	54459123	54471548
GSX2	uc010igp.1	chr4	54966248	54966511	uc010igp.1	chr4	54968090	54968122
PDGFRA	uc003hal.3	chr4	55095264	55124935	uc003ham.2	chr4	55095264	55148145
KIT	uc010igr.3	chr4	55524095	55524181	uc010igr.3	chr4	55604724	55606881
SRD5A3	uc003hau.3	chr4	56212388	56212503	uc003hau.3	chr4	56236259	56239266
TMEM165	uc011bzy.2	chr4	56262080	56269487	uc011bzy.2	chr4	56291620	56292342
LOC644145	uc010igy.1	chr4	56686237	56697528	NA	NA	NA	NA
EXOC1	uc003hbe.1	chr4	56719816	56724489	uc003hbe.1	chr4	56770662	56771244
CEP135	uc003hbh.2	chr4	56814974	56818296	uc003hbi.4	chr4	56890770	56899529
KIAA1211	uc003hbk.2	chr4	57036361	57164395	uc003hbk.2	chr4	57193971	57196890
PAICS	uc003hbs.1	chr4	57301915	57302478	uc003hbs.1	chr4	57325705	57327534
SRP72	uc003hbv.3	chr4	57333762	57333801	uc003hbx.3	chr4	57366678	57369847
ARL9	uc003hby.1	chr4	57371375	57377497	uc003hby.1	chr4	57390043	57390058
THEGL	uc031seh.1	chr4	57396775	57396842	NA	NA	NA	NA
REST	uc031sey.1	chr4	57774042	57796281	uc031sfe.1	chr4	57774042	57832976
POLR2B	uc011caf.1	chr4	57845109	57852574	uc003hcl.1	chr4	57897155	57897334
LOC255130	NA	NA	NA	NA	uc003hco.3	chr4	57975928	58071465
BC034799	NA	NA	NA	NA	uc003hcp.1	chr4	58292038	58332152
LPHN3	uc010ihg.1	chr4	62066974	62363011	uc003hcq.4	chr4	62935888	62938168
LOC100144602	NA	NA	NA	NA	uc003hdb.3	chr4	66535679	66559104
STAP1	uc003hde.4	chr4	68424446	68424527	uc003hdf.3	chr4	68472076	68473055
LOC550112	uc003hdk.3	chr4	68566996	68567013	uc003hdl.4	chr4	68566996	68946669
LOC550113	NA	NA	NA	NA	uc011cak.3	chr4	68919226	68938951
FTLP10	NA	NA	NA	NA	uc010iho.1	chr4	69048010	69078188
TMPRSS11E	uc003hdz.4	chr4	69313167	69313230	uc003hdz.4	chr4	69362523	69363322
UGT2B10	uc011can.1	chr4	69885969	69886113	uc003hee.3	chr4	69696598	69697741
UGT2B7	uc003heg.4	chr4	69962193	69962238	uc010ihq.3	chr4	69978195	69978705
AK124272	NA	NA	NA	NA	uc003hei.1	chr4	70066138	70082484
UGT2B28	uc003hej.3	chr4	70146217	70146218	uc010ihr.3	chr4	70160254	70160768
CSN1S1	uc003hep.1	chr4	70796799	70798273	uc003hep.1	chr4	70811915	70812288
STATH	uc003heu.1	chr4	70861648	70864154	uc003heu.1	chr4	70866667	70868173
HTN3	uc003hew.2	chr4	70894130	70896457	uc003hew.2	chr4	70898938	70902255
HTN1	uc003hex.3	chr4	70916159	70918793	uc003hex.3	chr4	70921287	70924559
CSN1S2AP	uc003hez.3	chr4	70934769	70934780	uc011car.2	chr4	70933103	70950988
CSN1S2BP	uc021xoy.1	chr4	70999321	71005649	uc021xoy.1	chr4	71008905	71012421
C4orf40	uc003hfa.4	chr4	71017793	71020092	uc003hfa.4	chr4	71027315	71032326
ODAM	uc003hfc.3	chr4	71062244	71062260	uc003hfc.3	chr4	71068903	71070293
FDCSP	uc003hfd.3	chr4	71091788	71091899	uc003hfd.3	chr4	71099905	71100968
CSN3	uc003hfe.4	chr4	71108333	71110536	uc003hfe.4	chr4	71115177	71117145
CABS1	uc003hff.3	chr4	71200671	71200756	uc003hff.3	chr4	71201945	71202833
SMR3A	uc003hfg.1	chr4	71226493	71227832	uc003hfg.1	chr4	71232712	71232823
SMR3B	uc003hfh.3	chr4	71248795	71250227	uc011cas.2	chr4	71255566	71255961
PROL1	uc003hfi.3	chr4	71263599	71265002	uc003hfi.3	chr4	71275793	71275914
MUC7	uc011cat.2	chr4	71296209	71339738	uc011cat.2	chr4	71347596	71348714
AMTN	uc003hfk.1	chr4	71384298	71384494	uc003hfk.1	chr4	71398183	71398459
AMBN	uc003hfl.3	chr4	71457975	71458075	uc003hfl.3	chr4	71472448	71473004
ENAM	uc011caw.1	chr4	71494461	71495217	uc011caw.1	chr4	71510573	71512536
UTP3	uc003hfo.3	chr4	71554196	71554394	uc003hfo.3	chr4	71555835	71556268
RUFY3	uc011cay.2	chr4	71600188	71628249	uc003hfq.3	chr4	71657015	71659274
MOB1B	uc011cba.2	chr4	71768057	71816499	uc011cba.2	chr4	71847775	71853891
DCK	uc011cbb.2	chr4	71859280	71888092	uc003hfx.3	chr4	71895096	71896629
SLC4A4	uc010iid.3	chr4	72313363	72400051	uc003hfy.3	chr4	72432765	72437804
NPFFR2	uc010iig.2	chr4	72897521	73003776	uc003hgg.2	chr4	73013530	73013918
ALB	uc011cbe.2	chr4	74269972	74279256	uc003hgs.4	chr4	74286016	74287129
AFP	uc011cbg.1	chr4	74308006	74309126	uc003hgy.1	chr4	74296855	74302928
AFM	uc003hhb.3	chr4	74347462	74347492	uc003hhb.3	chr4	74368788	74369718
LOC728040	NA	NA	NA	NA	uc031sft.1	chr4	74374520	74394250
IL8	uc003hhe.3	chr4	74606223	74606375	uc003hhe.3	chr4	74608182	74609433
CXCL6	uc003hhf.3	chr4	74702273	74702467	uc003hhf.3	chr4	74703359	74704477
PF4V1	uc003hhg.1	chr4	74719013	74719079	uc003hhg.1	chr4	74719840	74720198
CXCL1	uc003hhh.3	chr4	74735109	74735187	uc031sfu.1	chr4	74735109	74737019
MTHFD2L	uc003hhn.1	chr4	74979896	75040253	uc003hhu.3	chr4	75089785	75168814
EPGN	uc003hhw.4	chr4	75174187	75174250	uc003hhx.2	chr4	75174187	75182520
EREG	uc003hid.3	chr4	75230860	75231043	uc003hie.1	chr4	75250526	75254477
AREG	uc021xpc.1	chr4	75310853	75311062	uc021xpc.1	chr4	75318355	75490485
PARM1	uc003hih.2	chr4	75858285	75858537	uc003hih.2	chr4	75971458	75975325
LOC441025	NA	NA	NA	NA	uc021xpd.1	chr4	76279286	76287776
THAP6	uc010iis.1	chr4	76439654	76442024	uc003hio.1	chr4	76439654	76472540
C4orf26	uc031sfy.1	chr4	76481258	76481292	uc031sfx.1	chr4	76481258	76491103
USO1	uc003hiv.3	chr4	76678650	76692073	uc003hiu.3	chr4	76734449	76735366
ART3	uc003hji.3	chr4	76932333	76997042	uc003hjp.3	chr4	76997034	77033955
FAM47E	uc003hjw.2	chr4	77172853	77184940	uc003hjw.2	chr4	77199402	77203201
FAM47E-STBD1	uc011cbw.2	chr4	77172853	77230523	uc003hjy.3	chr4	77230327	77232283
STBD1	uc003hka.3	chr4	77227179	77227922	uc003hka.3	chr4	77231154	77232283
MIR4450	NA	NA	NA	NA	uc021xpg.1	chr4	77494721	77494785
SHROOM3	uc011cbz.1	chr4	77610611	77652029	uc011cbx.2	chr4	77700331	77704405
SEPT11	uc011cca.2	chr4	77870895	77917034	uc003hkj.3	chr4	77955666	77959768
CCNG2	uc003hkq.4	chr4	78078357	78078659	uc003hkq.4	chr4	78087078	78091213
CXCL13	uc003hkr.3	chr4	78432907	78527019	uc003hkr.3	chr4	78532194	78532988
MRPL1	uc003hku.2	chr4	78783805	78784002	uc003hku.2	chr4	78873762	78873944
FRAS1	uc003hky.1	chr4	79166387	79188493	uc003hlb.2	chr4	79462279	79465423
ANXA3	uc003hld.3	chr4	79472742	79475627	uc003hld.3	chr4	79531270	79531605
LOC100505702	NA	NA	NA	NA	uc003hlf.3	chr4	79567148	79605655
BMP2K	uc003hll.3	chr4	79793482	79793767	uc010ijl.1	chr4	79697532	79792214
LOC100505875	NA	NA	NA	NA	uc003hlr.2	chr4	79892902	80229953
LOC100506035	NA	NA	NA	NA	uc003hlv.3	chr4	80413747	80497614
PCAT4	NA	NA	NA	NA	uc003hlw.4	chr4	80748625	80784401
PRDM8	uc010ijo.3	chr4	81105439	81121234	uc010ijo.3	chr4	81124687	81125482
FGF5	uc003hmd.3	chr4	81187742	81187978	uc003hme.3	chr4	81207496	81212171
C4orf22	uc010ijp.3	chr4	81256874	81256922	uc010ijp.3	chr4	81884767	81884910
BMP3	uc003hmg.4	chr4	81952119	81952438	uc003hmg.4	chr4	81974691	81978685
